Source Plate Name	Source Well	Destination Plate Name	Destination Well	Transfer Volume	Sample ID
Source[1]	Mg-glutamate	Destination[1]	D5	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E5	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G5	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H5	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I5	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K5	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M5	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P5	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A6	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B6	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C6	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D6	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E6	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F6	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G6	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H6	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I6	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J6	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K6	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L6	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M6	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N6	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O6	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P6	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A7	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B7	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C7	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D7	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E7	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F7	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G7	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H7	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I7	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J7	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K7	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L7	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M7	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N7	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O7	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P7	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A8	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B8	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C8	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D8	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E8	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F8	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G8	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H8	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I8	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J8	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K8	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L8	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M8	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N8	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O8	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P8	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A9	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B9	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C9	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D9	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E9	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F9	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G9	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H9	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I9	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J9	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K9	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L9	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M9	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N9	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O9	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P9	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A10	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B10	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C10	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D10	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E10	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F10	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G10	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H10	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I10	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J10	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K10	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L10	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M10	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N10	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O10	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P10	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A11	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B11	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C11	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D11	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E11	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F11	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G11	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H11	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I11	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J11	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K11	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L11	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M11	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N11	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O11	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P11	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A12	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B12	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C12	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D12	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E12	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F12	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G12	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H12	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I12	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J12	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K12	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L12	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M12	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N12	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O12	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P12	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A13	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B13	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C13	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D13	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E13	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F13	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G13	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H13	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I13	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J13	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K13	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L13	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M13	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N13	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O13	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P13	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A14	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B14	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C14	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D14	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E14	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F14	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G14	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H14	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I14	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J14	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K14	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L14	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M14	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N14	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O14	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P14	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A15	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B15	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C15	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D15	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E15	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F15	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G15	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H15	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I15	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J15	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K15	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L15	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M15	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N15	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O15	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P15	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A16	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B16	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C16	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D16	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E16	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F16	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G16	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H16	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I16	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J16	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K16	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L16	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M16	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N16	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O16	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P16	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A17	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B17	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C17	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D17	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E17	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F17	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G17	495.23809523809524	Mg-glutamate
