Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Mg-glutamate well	destPlate1	J8	0
Plate1	Mg-glutamate well	destPlate1	K8	0
Plate1	Mg-glutamate well	destPlate1	L8	80
Plate1	Mg-glutamate well	destPlate1	M8	80
Plate1	Mg-glutamate well	destPlate1	N8	20
Plate1	Mg-glutamate well	destPlate1	O8	100
Plate1	Mg-glutamate well	destPlate1	P8	60
Plate1	Mg-glutamate well	destPlate1	A9	60
Plate1	Mg-glutamate well	destPlate1	B9	0
Plate1	Mg-glutamate well	destPlate1	C9	20
Plate1	Mg-glutamate well	destPlate1	D9	0
Plate1	Mg-glutamate well	destPlate1	E9	0
Plate1	Mg-glutamate well	destPlate1	F9	60
Plate1	Mg-glutamate well	destPlate1	G9	20
Plate1	Mg-glutamate well	destPlate1	H9	0
Plate1	Mg-glutamate well	destPlate1	I9	0
Plate1	Mg-glutamate well	destPlate1	J9	20
Plate1	Mg-glutamate well	destPlate1	K9	100
Plate1	Mg-glutamate well	destPlate1	L9	0
Plate1	Mg-glutamate well	destPlate1	M9	100
Plate1	Mg-glutamate well	destPlate1	N9	80
Plate1	Mg-glutamate well	destPlate1	O9	100
Plate1	Mg-glutamate well	destPlate1	P9	60
Plate1	Mg-glutamate well	destPlate1	A10	60
Plate1	Mg-glutamate well	destPlate1	B10	60
Plate1	Mg-glutamate well	destPlate1	C10	60
Plate1	Mg-glutamate well	destPlate1	D10	100
Plate1	Mg-glutamate well	destPlate1	E10	100
Plate1	Mg-glutamate well	destPlate1	F10	0
Plate1	Mg-glutamate well	destPlate1	G10	80
Plate1	Mg-glutamate well	destPlate1	H10	20
Plate1	Mg-glutamate well	destPlate1	I10	0
Plate1	Mg-glutamate well	destPlate1	J10	20
Plate1	Mg-glutamate well	destPlate1	K10	0
Plate1	Mg-glutamate well	destPlate1	L10	0
Plate1	Mg-glutamate well	destPlate1	M10	80
Plate1	Mg-glutamate well	destPlate1	N10	80
Plate1	Mg-glutamate well	destPlate1	O10	20
Plate1	Mg-glutamate well	destPlate1	P10	100
Plate1	Mg-glutamate well	destPlate1	A11	60
Plate1	Mg-glutamate well	destPlate1	B11	60
Plate1	Mg-glutamate well	destPlate1	C11	0
Plate1	Mg-glutamate well	destPlate1	D11	20
Plate1	Mg-glutamate well	destPlate1	E11	0
Plate1	Mg-glutamate well	destPlate1	F11	0
Plate1	Mg-glutamate well	destPlate1	G11	60
Plate1	Mg-glutamate well	destPlate1	H11	20
Plate1	Mg-glutamate well	destPlate1	I11	0
Plate1	Mg-glutamate well	destPlate1	J11	0
Plate1	Mg-glutamate well	destPlate1	K11	20
Plate1	Mg-glutamate well	destPlate1	L11	100
Plate1	Mg-glutamate well	destPlate1	M11	0
Plate1	Mg-glutamate well	destPlate1	N11	100
Plate1	Mg-glutamate well	destPlate1	O11	80
Plate1	Mg-glutamate well	destPlate1	P11	100
Plate1	Mg-glutamate well	destPlate1	A12	60
Plate1	Mg-glutamate well	destPlate1	B12	60
Plate1	Mg-glutamate well	destPlate1	C12	60
Plate1	Mg-glutamate well	destPlate1	D12	60
Plate1	Mg-glutamate well	destPlate1	E12	100
Plate1	Mg-glutamate well	destPlate1	F12	100
Plate1	Mg-glutamate well	destPlate1	G12	0
Plate1	Mg-glutamate well	destPlate1	H12	80
Plate1	Mg-glutamate well	destPlate1	I12	20
Plate1	Mg-glutamate well	destPlate1	J12	0
Plate1	Mg-glutamate well	destPlate1	K12	20
Plate1	Mg-glutamate well	destPlate1	L12	0
Plate1	Mg-glutamate well	destPlate1	M12	0
Plate1	Mg-glutamate well	destPlate1	N12	80
Plate1	Mg-glutamate well	destPlate1	O12	80
Plate1	Mg-glutamate well	destPlate1	P12	20
Plate1	Mg-glutamate well	destPlate1	A13	100
Plate1	Mg-glutamate well	destPlate1	B13	60
Plate1	Mg-glutamate well	destPlate1	C13	60
